Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
230;1;2;1;>70;None;1;0;1;1;1;1;5;1;1;0;3;4;1;1;1;1;1;1
231;1;2;1;51-60;Secondary;1;0;1;1;0;1;6;0;1;1;3;4;1;1;1;1;1;1
232;0;2;1;21-30;Secondary;1;0;1;0;0;1;5;0;0;0;4;3;0;1;1;0;1;1
233;0;2;1;51-60;Secondary;1;0;1;0;1;1;2;4;1;0;4;3;0;1;0;1;1;1
234;1;2;1;41-50;Secondary;1;1;1;1;0;1;4;2;1;0;4;3;0;1;1;1;1;1
235;0;2;1;61-70;Primary;1;0;1;0;0;1;1;6;0;0;4;3;1;0;1;1;0;1
236;0;2;0;51-60;None;1;0;0;0;0;1;3;4;0;0;4;3;0;1;1;1;0;1
237;1;2;0;41-50;Primary;1;0;1;0;0;1;4;1;1;1;4;3;0;1;1;1;0;1
238;0;2;1;31-40;None;1;0;1;0;0;1;0;12;0;0;4;3;0;1;0;0;0;-1
239;0;2;1;>70;None;2;0;1;0;0;1;2;8;0;0;4;3;0;1;0;1;0;0
240;1;2;1;31-40;Secondary;3;1;1;0;1;1;5;0;1;0;4;3;0;1;0;1;1;1
241;0;2;0;21-30;None;2;0;1;0;0;1;2;8;0;0;4;3;0;1;0;1;0;0
242;0;2;1;51-60;None;1;0;1;0;1;1;5;3;1;0;4;3;0;1;1;1;1;1
243;0;2;0;21-30;None;1;0;1;0;0;0;1;9;0;0;4;3;0;1;0;0;0;1
